Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернет,Контактный телефон,Адрес,Долгота,Широта
Доходный дом К. В. Кирхгоф,Дома и дворцы,None,None,None,None,None,None,None,None,None,Печатников пер.+++ д. 5,55.7674444,37.6256194
Доходный дом К. Х. Каракаш,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малый Каретный пер.+++ д. 3/2+++ стр. 1,55.7713139,37.6127278
Доходный дом К.К. Мазинга,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малый Знаменский пер.+++ д. 7/10+++ стр. 2,55.7482611,37.6049556
Доходный дом К.С. Клингсланда,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Козихинский пер.+++ д. 10,55.762825,37.5975333
Доходный дом К.Ф. Лазарева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Нащокинский пер.+++ д. 8,55.7457472,37.5986056
Доходный дом Климова - ГИТИС,Дома и дворцы,None,None,None,None,None,None,None,None,None,Земляной вал ул.+++ д. 66/20,55.7455028,37.6545389
Доходный дом княгини А. П. Голицыной,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Никитская ул.+++ д. 24/1+++ стр. 6,55.7571778,37.6021028
Доходный дом князей Бебутовых,Здания,None,None,None,None,None,None,None,None,None,Рождественский бульвар д.9,55.7669528,37.6259528
Доходный дом князей Голицыных,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Черкасский пер.+++ д. 9,55.7575194,37.6264
Доходный дом Кононовой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Машкова ул.+++ д.17,55.7644556,37.653025
Доходный дом Констан,Дома и дворцы,None,None,None,None,None,None,None,None,None,2-й Обыденский пер.+++ д. 11,55.7421306,37.6028917
Доходный дом Константинова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Армянский пер.+++ д. 9/ Архангельский пер.+++ д. 1/ Сверчков пер.+++ д.1,55.7595722,37.6371139
Доходный дом Коровина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Петровка ул.+++ д.19,55.7652694,37.6158972
Доходный дом Костяковой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малая Дмитровка ул.+++ д. 23/15+++ стр. 2,55.7703694,37.6046444
Доходный дом Кудрявцевых-Журавлева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Архангельский пер.+++ д. 3,55.7606389,37.63735
Доходный дом купца В. Е. Быкова,Дома и дворцы,None,None,None,None,None,None,None,None,None,2-я Брестская ул.+++ д. 19/18+++ стр. 1,55.7711194,37.5898528
Доходный дом купца Исакова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пречистенка ул.+++ д.28,55.7415972,37.5930028
Доходный дом купца Носова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Черкасский пер.+++ д. 11,55.7571056,37.6268833
Доходный дом купцов Козновых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Черкасский пер.+++ д. 13+++ стр. 3+++ 4,55.7570583,37.627
Доходный дом Лазаревых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Нащокинский пер.+++ д. 6,55.7456111,37.5987139
Доходный дом Любощинских-Вернадских,Дома и дворцы,None,None,None,None,None,None,None,None,None,Зубовский бульвар+++ д. 15+++ стр. 1,55.7359167,37.5916333
Доходный дом М. Журавской,Дома и дворцы,None,None,None,None,None,None,None,None,None,Денежный пер.+++ д. 12,55.7437111,37.5879194
Доходный дом М. И. Бабанина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Климентовский пер.+++ д. 6.,55.7409361,37.6300167
Доходный дом М. М. Тюляевой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малая Дмитровка ул.+++ д. 3/ Настасьинский пер.+++ д. 10,55.7675806,37.6060472
Доходный дом М. П. Макарова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Новокузнецкая ул.+++ д. 33 стр. 2,55.7335917,37.6343861
Доходный дом М.А. Александрова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Старопанский пер.+++ д. 7/6,55.7565722,37.6267111
Доходный дом Мелетиных,Дома и дворцы,None,None,None,None,None,None,None,None,None,Померанцев пер.+++ 7,55.7386361,37.5934778
Доходный дом Миансаровой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Сухаревская пл.+++ д.12,55.7719083,37.6358
Доходный дом Милованова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Потаповский пер.+++ д. 2/ Архангельский пер.+++ д. 8,55.7618722,37.6386694
Доходный дом Мозгиных,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Дмитровка ул.+++ д. 20/5+++ стр. 1,55.7627833,37.6136639
Доходный дом Московского архитектурного общества,Дома и дворцы,None,None,None,None,None,None,None,None,None,Ермолаевский пер+++ д. 17,55.7654667,37.5921028
Доходный дом Московского Купеческого банка с магазинами и товарными складами,Дома и дворцы,None,None,None,None,None,None,None,None,None,Старая площадь+++ д. 2/14 (Ильинка ул.+++ д. 14/2)+++ стр. 1,55.7561639,37.6299222
Доходный дом Московского Торгово-строительного акционерного общества,Дома и дворцы,None,None,None,None,None,None,None,None,None,Мясницкий пр.+++ 4/3 стр. 1,55.7683306,37.6467889
Доходный дом Н. Д. Телешова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Чистопрудный бул.+++ д. 23,55.76035,37.6466361
Доходный дом Н. И. Пузанкова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Печатников пер. д. 18. стр. 1,55.7674222,37.6290472
Доходный дом Н. М. Борщова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Афанасьевский пер.+++ д. 22/ Филипповский пер.+++ д. 9,55.7489139,37.5979556
Доходный дом Н.С. Лутковского,Дома и дворцы,None,None,None,None,None,None,None,None,None,Леонтьевский пер.+++ д. 21/1 стр. 1,55.7612222,37.6059111
Доходный дом наследников Н. П. Циркунова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Чистый пер.+++ д. 10,55.7430583,37.5907444
Доходный дом наследниц Хлудовых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Театральный пр.+++ д. 3/1/2 (Рождественка ул.+++ д. 1+++ Неглинная ул.+++ д. 2)+++ стр. 1,55.7595889,37.6232611
Доходный дом Никифорова - Титовых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Столешников пер. д.9,55.7632278,37.6153417
Доходный дом Оболенского-Нелединского,Дома и дворцы,None,None,None,None,None,None,None,None,None,Варсонофьевский пер.+++ д. 6+++ стр. 1,55.7632278,37.6259361
Доходный дом Орлова-Давыдова с магазинами,Дома и дворцы,None,None,None,None,None,None,None,None,None,Никольская ул.+++ д. 12,55.7589083,37.6254639
Доходный дом Орловых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Смоленская пл.+++ д. 1/4,55.7470333,37.5819639
Доходный дом П.В. Лоськова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Мансуровский пер.+++ д.4+++ стр.1,55.73985,37.5951944
Доходный дом Панафидиной,Дома и дворцы,None,None,None,None,None,None,None,None,None,Лялин пер. д. 11+++ 13,55.7589222,37.6524611
Доходный дом Р.П. Саблина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Леонтьевский пер.+++ д. 24,55.7616444,37.6071806
Доходный дом Расторгуевых на Солянке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Солянка ул.+++ д.7,55.7523917,37.6405056
Доходный дом Родионова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Борисоглебский пер.+++ д. 8,55.7544028,37.590175
Доходный дом Российского общества застрахования капиталов и доходов,Дома и дворцы,None,None,None,None,None,None,None,None,None,Милютинский пер.+++ д.11; Сретенский пер.+++ д.4; Малая Лубянка ул.+++ д.16,55.7644333,37.6317917
Доходный дом с магазином Леве,Дома и дворцы,None,None,None,None,None,None,None,None,None,Столешников пер.+++ д. 7+++ стр. 1,55.7629111,37.6142583
Доходный дом С. Н. Павлова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Трубниковский пер.+++ д. 24,55.7543278,37.5869333
Доходный дом С.А. Егорова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Манежная ул.+++ д. 9+++ стр. 1,55.7512028,37.6115417
Доходный дом С.И. Сытова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Кривоколенный пер.+++ д. 5/Банковский пер.+++ д. 2/Мясницкая ул.+++ д.22+++ стр. 1,55.7619611,37.6353472
Доходный дом Себрякова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Козихинский пер.+++ д. 27+++ стр. 1,55.7649778,37.5943944
Доходный дом Силуанова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Лялин переулок+++ д.7/2,55.7596444,37.6523444
Доходный дом Спасо-Влахернского женского монастыря,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малая Дмитровка ул.+++ д. 8+++ стр. 1,55.7685083,37.6063306
Доходный дом Строгановского училища,Дома и дворцы,None,None,None,None,None,None,None,None,None,Мясницкая ул.+++ д. 24 / Банковский пер.+++ д. 1 / Кривоколенный пер.+++ д. 7,55.7622889,37.6352833
Доходный дом Стуловых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малый Знаменский пер.+++ д.8,55.7487139,37.6059861
Доходный дом Такке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Подсосенский пер.+++ д. 8+++ стр.1,55.7581083,37.6501833
Доходный дом Танеева на Большой Татарской улице,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Татарская ул.+++ д. 20+++ стр. 1 и 2,55.7402278,37.6327111
Доходный дом Тарховой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Подсосенский пер.+++ д. 18/5,55.7571444,37.6518778
Доходный дом Тестова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Харитоньевский пер.+++ д. 3/13,55.76395,37.6429139
Доходный дом Третьяковых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Кузнецкий мост ул.+++ д.13/9,55.7623444,37.6231056
Доходный дом Троицкого подворья на Ильинке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Ильинка ул.+++ д. 5/2,55.754825,37.6252139
Доходный дом Трындиных,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Лубянка+++ д. 13/16+++ стр. 1,55.7643583,37.6293472
Доходный дом Ф.В.Езерского,Дома и дворцы,None,None,None,None,None,None,None,None,None,1-я Тверская-Ямская ул.+++ д. 6,55.7715361,37.5939722
Доходный дом Феттер и Гинкель,Дома и дворцы,None,None,None,None,None,None,None,None,None,Милютинский пер.+++ д. 20/ Бобров пер. д. 2,55.76545,37.6326694
Доходный дом Филатова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Остоженка ул.+++ 3/14,55.7437111,37.6017417
Доходный дом Хрящева - В. В. Варгина - Серпуховского городского общества,Дома и дворцы,None,None,None,None,None,None,None,None,None,Ильинка ул.+++ д. 12/2/1+++ стр. 1,55.7555667,37.6282083
Доходный дом церкви Троицы на Грязех,Дома и дворцы,None,None,None,None,None,None,None,None,None,Чистопрудный бульвар д.14,55.7599556,37.6445833
Доходный дом Шагурина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Лялин пер. д. 9,55.7591611,37.6522667
Доходный дом Шамшина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Знаменка ул.+++ д. 8/13+++ стр. 1,55.7499278,37.6066611
Доходный дом Шелапутина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Черкасский пер.+++ д. 19/13,55.7558361,37.6279972
Доходный дом Шешкова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Дегтярный пер.+++ д. 10+++ стр. 2,55.7688472,37.6048889
Доходный дом Штейна,Дома и дворцы,None,None,None,None,None,None,None,None,None,Лялин пер.+++ д.8+++ стр. 1,55.7598278,37.6515639
Доходный дом Шугаева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Козловский пер.+++ д. 12,55.7657889,37.6476583
Доходный дом Э.-Р. К. Нирнзее,Дома и дворцы,None,None,None,None,None,None,None,None,None,Трехпрудный пер. д. 5,55.7649889,37.5976389
Доходный дом Энгельбрехта,Дома и дворцы,None,None,None,None,None,None,None,None,None,Новокузнецкая ул.+++ д. 34+++ стр. 1,55.7332444,37.6340472
Доходный дом Ю. Т. Крестовниковой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Покровский бул.+++ д. 14/6,55.7550389,37.6476722
Дубровка,Станция метро,None,None,None,None,None,None,None,None,None,Шароподшипниковская ул.,55.718,37.6769667
Дубровка (МЦК),Московское центральное кольцо (МЦК),None,None,None,None,None,None,None,None,None,на пересечении ТТК и Южнопортовой улицы,55.7120028,37.6757472
Евангелическая больница,Дома и дворцы,None,None,None,None,None,None,None,None,None,Обуха пер.+++ д. 5,55.7527667,37.6545972
Единоверческая церковь святителя Николая чудотворца на Студенце,Здания постройки до 1917 года,None,None,None,None,None,None,None,None,None,Таганская ул.+++ 20А,55.7403361,37.6603861
Екатерининский дворец на Яузе в Лефортово,Дома и дворцы,None,None,None,None,None,None,None,None,None,Краснокурсантский 1-й пр.+++ д. 3/5,55.7617667,37.6964306
Елизаветинская женская гимназия,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Казённый пер. д. 9,55.7603806,37.6556333
Живой родник+++ центральная церковь РЦ ХВЕ (пятидесятники),Католические и протестантские,None,None,None,None,None,None,None,None,None,ул. Фабрициуса+++ д. 31А,55.8428028,37.4298028
Жилой дом артистов МХАТ,Дома и дворцы,None,None,None,None,None,None,None,None,None,Брюсов пер.+++ д. 17,55.7596972,37.6076528
Жилой дом Генерального штаба Вооруженных сил СССР,Дома и дворцы,None,None,None,None,None,None,None,None,None,Ермолаевский пер.+++ д. 9,55.7645667,37.5906917
Жилой дом городской усадьбы Вяземских,Дома и дворцы,None,None,None,None,None,None,None,None,None,1-й Спасоналивковский переулок. д.4.,55.7331528,37.6177139
Жилой дом городской усадьбы Ладыженских - Загряжских - Рукавишниковых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Денежный пер.+++ д. 3+++ стр. 1+++ 2+++ 3+++ 5,55.74275,37.5879306
Жилой дом для инженерно-технических работников,Дома и дворцы,None,None,None,None,None,None,None,None,None,Тверская-Ямская 1-я ул.+++ д. 36+++ стр. 1,55.7762611,37.5859694
"Жилой дом жилищного кооператива ""Военный строитель""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Лубянский проезд+++ д. 17,55.7560417,37.6334083
Жилой дом Заводстроя,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Сухаревская пл.+++ 14,55.7717139,37.6368444
"Жилой дом кооператива ""Кремлёвский работник""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Малая Никитская ул.+++ д. 16,55.7586667,37.59145
"Жилой дом кооператива ""Научные работники""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Зубовский бул.+++ д. 16-20,55.7383333,37.5880917
Жилой дом кооператива работников наркоматов иностранных дел и труда,Дома и дворцы,None,None,None,None,None,None,None,None,None,Хоромный тупик+++ д. 2/6,55.7679056,37.6484972
Жилой дом Крашенинниковых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Кожевническая ул.+++ д. 20+++ стр. 19,55.7286083,37.6487583
Жилой дом купца Н. П. Баулина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Николоямская ул.+++ д. 52+++ стр. 1,55.7468944,37.6632556
Жилой дом Людоговских,Дома и дворцы,None,None,None,None,None,None,None,None,None,Вспольный пер.+++ д.6 стр. 3,55.7603556,37.5885
Жилой дом М. П. Арсеньевой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Трубниковский пер.+++ д. 21+++ стр. 1,55.7555,37.5868972
Жилой дом Медынцева-Ремизова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малый Толмачевский пер.+++ д. 8/11+++ стр. 1,55.7411889,37.61945
Жилой дом Н. И. Шах-Параньянц,Дома и дворцы,None,None,None,None,None,None,None,None,None,Ананьевский пер.+++ д. 5+++ стр. 3,55.7714389,37.6366361
Жилой дом на Новокузнецкой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Новокузнецкая ул.+++ д. 26/8,55.7350833,37.63275
Жилой дом на Яузском бульваре,Дома и дворцы,None,None,None,None,None,None,None,None,None,Яузский б-р.+++ 2/16,55.7526583,37.6461333
Жилой дом Остроумовой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Воротниковский пер.+++ д. 10+++ стр.2,55.7707861,37.60215
Жилой дом работников МГБ,Дома и дворцы,None,None,None,None,None,None,None,None,None,Земляной Вал ул.+++ д. 46,55.7532222,37.6558333
Жилой дом С. В. Мельникова - П. Ф. Емельяновой - Топлениновых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Мансуровский пер.+++ д. 9,55.739875,37.5941889
Жилой дом сотрудников Октябрьского райсовета,Дома и дворцы,None,None,None,None,None,None,None,None,None,Воротниковский переулок+++ 5/9,55.76965,37.6020778
Жилой дом Урусовых - Радищева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Афанасьевский пер.+++ д. 9,55.7459444,37.5971694
Жилой дом ЦК КПСС в Гранатном переулке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Гранатный пер.+++ д. 10+++ стр.1,55.7602556,37.5897583
"Жилой комплекс ""Новая Остоженка""",Современные здания,None,None,None,None,None,None,None,None,None,1-ый Зачатьевский+++ д. 5-7-9,55.7393944,37.6035833
"Жилой комплекс ""Седьмое небо""",Современные здания,None,None,None,None,None,None,None,None,None,Улица Академика Королева+++ д.10,55.8234806,37.6200111
"Жилой комплекс ""Эдельвейс""",Современные здания,None,None,None,None,None,None,None,None,None,Давыдковская ул.+++ д.3,55.7273833,37.4801111
"Жилой комплекс ""Эльсинор""",Современные здания,None,None,None,None,None,None,None,None,None,Маршала Соколовского ул.+++ д. 5-7,55.7928,37.4876056
"Жилой комплекс бизнес-класса ""Северная Звезда""",Современные здания,None,None,None,None,None,None,None,None,None,Расплетина ул.+++ д.22,55.7940444,37.4835472
Жилой комплекс Триумф-палас,Современные здания,None,None,None,None,None,None,None,None,None,Чапаевский пер.+++ д. 3,55.7987694,37.52095
Жуковский (Раменское),Аэропорт,None,None,None,None,None,None,None,None,None,МО+++ г.Жуковский+++ ул. Наркомвод+++ адм.-быт.корп.23,55.5609972,38.1185333
Жулебино,Станция метро,None,None,None,None,None,None,None,None,None,Генерала Кузнецова ул.,55.6844083,37.8550083
Задние ворота Государева двора в Измайлово,Башни и ворота,None,None,None,None,None,None,None,None,None,городок им. Баумана+++ д.12,55.7921639,37.7592361
Западный порт пристань,Речная станция,None,None,None,None,None,None,None,None,None,Б.Филевская ул.,55.7513667,37.5178389
Затрапезная башня Новодевичьего монастыря,Башни и ворота,None,None,None,None,None,None,None,None,None,Новодевичий проезд+++ д. 1+++ стр. 28,55.7267306,37.5540694
Захарково пристань,Речная станция,None,None,None,None,None,None,None,None,None,Ул. Свободы,55.849,37.4590583
Звонница Георгия Победоносца в Коломенском,Здания постройки до 1917 года,None,None,None,None,None,None,None,None,None,Андропова просп.+++ 39+++ стр. 4 (колокольня)+++ стр. 5 (трапезная),55.6671306,37.6700583
"Здание ""Электротеатра Станиславский""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Тверская ул.+++ д.23,55.7668417,37.6010833
Здание академии им. Сеченова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Моховая ул.+++ 11+++ стр. 10,55.7564389,37.6127472
Здание Александровского подворья,Дома и дворцы,None,None,None,None,None,None,None,None,None,Староваганьковский пер.+++ д. 23+++ стр. 1,55.751875,37.6077167
Здание Бахметьевского гаража,Дома и дворцы,None,None,None,None,None,None,None,None,None,Ул. Образцова+++ д.11,55.7893222,37.6073
Здание Белорусского вокзала,Железнодорожный вокзал,None,None,None,None,None,None,None,None,None,Тверская Застава пл.+++ 7,55.7768333,37.5812861
Здание Библиотеки-читальни имени А. С. Пушкина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Спартаковская ул.+++ д. 9,55.7720056,37.6718917
Здание богадельни Яузского попечительства бедных,Дома и дворцы,None,None,None,None,None,None,None,None,None,Серебрянический пер.+++ 15,55.7500889,37.6489722
Здание Большого театра (ГАБТ),Дома и дворцы,None,None,None,None,None,None,None,None,None,Театральная пл.+++ 5С1,55.7601694,37.6185611
Здание бывшего ЦК ВЛКСМ,Дома и дворцы,None,None,None,None,None,None,None,None,None,Маросейка ул. +++ д. 3/13+++ стр. 1,55.7574278,37.6314472
Здание бывшей гостиницы у Петровских ворот,Дома и дворцы,None,None,None,None,None,None,None,None,None,Страстной бульвар+++ д.7/30,55.7681167,37.6140944
"Здание бывшей конторы ""Новосухаревского рынка""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Сухаревский пер.+++ д. 11+++ стр. 1,55.771,37.6276417
Здание Военной академии имени Фрунзе,Дома и дворцы,None,None,None,None,None,None,None,None,None,Проезд Девичьего поля д.4,55.7376583,37.5782611
"Здание газеты ""Известия""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Пушкинская пл.+++ 5,55.7659694,37.6051306
"Здание газеты ""Труд""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Тверская ул.+++ д. 18Б,55.7662917,37.6031056
Здание Газпрома (бывшее главное здание РАО ЕЭС),Современные здания,None,None,None,None,None,None,None,None,None,Вернадского пр. д.101+++ корп. 3,55.6650889,37.486725
Здание Генерального Штаба Министерства Обороны РФ,Дома и дворцы,None,None,None,None,None,None,None,None,None,Воздвиженка+++ д.14/1,55.7515111,37.6027444
Здание Городской думы,Дома и дворцы,None,None,None,None,None,None,None,None,None,Революции пл.+++ д.2/3,55.7562417,37.6185861
Здание госпиталя имени Бурденко,Дома и дворцы,None,None,None,None,None,None,None,None,None,Госпитальная площадь+++ 3,55.7702444,37.6985056
"Здание гостиницы ""Космос""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Проспект Мира д.150,55.8224,37.6473778
"Здание гостиницы ""Советская""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Ленинградский пр-кт+++ д.32/2,55.7847833,37.5692111
Здание гостиницы Балчуг Кемпински Москва,Дома и дворцы,None,None,None,None,None,None,None,None,None,Балчуг ул.+++ д. 1,55.748275,37.6258528
Здание гостиницы Ленинградская,Сталинские высотки,None,None,None,None,None,None,None,None,None,Каланчевская ул.+++ д.21/40,55.7740944,37.6517028
Здание гостиницы Метрополь,Дома и дворцы,None,None,None,None,None,None,None,None,None,Театральный пр.+++ д. 1/4,55.7583694,37.6215167
Здание гостиницы Москва,Дома и дворцы,None,None,None,None,None,None,None,None,None,Охотный ряд+++ 2,55.7567472,37.6165639
Здание гостиницы Националь,Дома и дворцы,None,None,None,None,None,None,None,None,None,Моховая ул.+++ д. 15/1,55.7568167,37.6140278
Здание гостиницы Пекин,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Садовая ул. д.5,55.7687472,37.5938444
Здание гостиницы Украина,Сталинские высотки,None,None,None,None,None,None,None,None,None,Кутузовский проспект+++ д. 2/1.,55.7517556,37.5655167
Здание гостиницы-общежития для английских и американских гувернанток св. Андрея,Дома и дворцы,None,None,None,None,None,None,None,None,None,Спиридоньевский пер.+++ д.9+++ стр. 1,55.7624639,37.5939194
Здание Госторга,Дома и дворцы,None,None,None,None,None,None,None,None,None,Мясницкая ул.+++ д. 47,55.7688194,37.6447389
Здание Государственной Думы,Дома и дворцы,None,None,None,None,None,None,None,None,None,Охотный ряд ул.+++ д.1,55.7580389,37.6160306
Здание ГУМ (Верхние торговые ряды),Дома и дворцы,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,None,None,Красная пл.+++ д.3,55.7546972,37.6215222
Здание Дипломатической академии на Остоженке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Остоженка ул.+++ д. 53/2,55.7354583,37.5955583
Здание Дома-музея А. И. Герцена,Дома и дворцы,None,None,None,None,None,None,None,None,None,Сивцев Вражек пер.+++ д. 27.,55.74715,37.5918056
Здание Зоологического музея,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Никитская ул.+++ д. 2 (Старый адрес до 2015 года: Большая Никитская ул.+++ 6),55.7558333,37.608975
Здание исторического музея,Дома и дворцы,None,None,None,None,None,None,None,None,None,Красная пл.+++ д.1/2,55.7554472,37.6172083
Здание Казанского вокзала,Железнодорожный вокзал,None,None,None,None,None,None,None,None,None,Комсомольская пл.+++ 2,55.7744139,37.6563139
Здание Казначейства РФ,Дома и дворцы,None,None,None,None,None,None,None,None,None,Ильинка ул.+++ д. 7/Богоявленский пер. д. 3,55.7551528,37.6258889
Здание Киевского вокзала,Железнодорожный вокзал,None,None,None,None,None,None,None,None,None,Киевского Вокзала пл.+++ 1,55.7428778,37.5657889
"Здание кинотеатра ""Заря""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Пятницкая ул.+++ д. 2/38 стр. 1,55.745725,37.6263167
Здание Комиссаровского технического училища,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Садовая ул.+++ д. 14+++ стр.3+++ стр.6,55.7671556,37.5968611
"Здание концерна ПВО ""Алмаз - Антей""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Ленинградский просп.+++ д. 80+++ к. 16,55.8075472,37.509475
Здание Кремлевской больницы,Дома и дворцы,None,None,None,None,None,None,None,None,None,Романов пер.+++ д. 2/6+++ стр. 1,55.75285,37.6077778
Здание Ленинградского вокзала,Железнодорожный вокзал,None,None,None,None,None,None,None,None,None,Комсомольская площадь д.3,55.7766583,37.6547583
Здание Малого театра,Дома и дворцы,None,None,None,None,None,None,None,None,None,Театральная пл.+++ д. 1,55.7598194,37.6203833
Здание Малого театра на Ордынке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Ордынка ул. д.69,55.7305333,37.6242444
Здание МВД на Петровке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Петровка ул.+++ д.38,55.7699361,37.613475
Здание МГТУ им. Баумана (Слободской дворец),Дома и дворцы,None,None,None,None,None,None,None,None,None,2-ая Бауманская ул.+++д. 5,55.7660306,37.6846611
"Здание мебельной фабрики ""Мюр и Мерилиз""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Столярный пер.+++ 3 к. 1,55.7635944,37.569775
Здание МИД,Сталинские высотки,None,None,None,None,None,None,None,None,None,Смоленская-Сенная площадь+++ д.32,55.7462083,37.5842917
Здание Министерства Культуры,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малый Гнездниковский переулок д.7,55.7624083,37.6053639
Здание Московского архитектурного института,Дома и дворцы,None,None,None,None,None,None,None,None,None,Рождественка ул.+++ 11,55.7631194,37.6226389
Здание Московского Дома Актера,Дома и дворцы,None,None,None,None,None,None,None,None,None,Ул. Арбат д.35,55.7491028,37.5911972
Здание Московского драматического  театра им. А.С. Пушкина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Тверской бульвар д.23/16,55.7622333,37.6016722
Здание Московского инженерного училища,Дома и дворцы,None,None,None,None,None,None,None,None,None,Ул. Образцова+++ д.9+++ стр. 9,55.7880361,37.6081333
Здание Московского театра оперетты,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Дмитровка ул.+++ д. 6/2,55.7604333,37.6156917
Здание Московской Государственной филармонии им. П.И. Чайковского,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Садовая ул.+++ д.4/31,55.769025,37.5962333
Здание Московской Ремесленной Управы,Дома и дворцы,None,None,None,None,None,None,None,None,None,Никольская ул.+++ д. 23,55.7588972,37.624675
Здание музея А.С. Пушкина на Пречистенке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Пречистенка ул.+++ д.12/2,55.7437194,37.5972111
