Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернете,Контактный Телефон,Адрес,Долгота,Широта,Круглосуточно
Колонны Славы,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Конногвардейский бульвар",59.933338,30.297929,1
Кондратьеву А. А.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Свердловская наб., угол Арсенальной ул., сквер",59.959561,30.391731,1
Константинову Б. П.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Политехническая ул., 26, Физико-технический институт им. А. Ф. Иоффе",50.254767,127.551221,1
Космодемьянской З. А.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Аллея Героев Московского парка Победы",48.705932,44.51861,1
Косыгину А. Н.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Аллея Героев Московского парка Победы",48.705932,44.51861,1
Крейсеру «Аврора»,Памятники,11.00-17.15,11.00-17.15,11.00-17.15,11.00-17.15,11.00-17.15,11.00-17.15,11.00-17.15,None,None,"г. Санкт-Петербург, Петроградская наб.",59.961021,30.334805,0
Крепости Ниеншанц,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Малоохтинский пр., 2, наб. Невы",59.93916700000001,30.405511,1
Кржижановскому Г. М.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Ново-Александровская ул., 23, музей «Невская застава»",59.865704,30.460084,1
Крузенштерну И. Ф.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, наб. Лейтенанта Шмидта, напротив Морского корпуса Петра Великого",59.933708,30.276989,1
Крупской Н. К.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Обуховской Обороны пр., 105, перед Дворцом культуры им. Крупской; 
г. Санкт-Петербург, Ново-Александровская ул., 23, музей «Невская застава»",59.865704,30.460084,1
Памятник Крылову,Памятники,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,None,None,"г. Санкт-Петербург, Летний сад / St. Petersburg, Summer Garden",59.988221,29.777867,0
Крымская (Сибирская) колонна,Памятники,None,None,None,None,None,None,None,None,None,"г. Пушкин, Парковая ул., 64/68",59.709889,30.379316,1
Кутузову М. И.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Казанский сквер",57.58882,34.5603,1
Левашовская пустошь,Памятники,None,None,None,None,None,None,None,None,None,"п. Левашово, Горское шоссе, 135, Левашовское мемориальное кладбище",60.094869,30.190993,1
Ленину В. И.,Памятники,None,None,None,None,None,None,None,None,None,"пос. Парголово, развилка Выборгского шоссе и ул. Ломоносова; 
г. Санкт-Петербург, Ново-Александровская ул., 23, музей «Невская застава»; 
г. Санкт-Петербург, Каменноостровский пр., 21; 
г. Санкт-Петербург, Обводного канала наб., на фасаде Варшавского вокзала; 
г. Санкт-Петербург, Большой пр. В. О., 85; 
г. Санкт-Петербург, Ленина ул. на пересечении с Большим пр. П. С.; 
г. Санкт-Петербург, Большой пр. В. О., 55; 
г. Санкт-Петербург, Ленина пл.; 
г. Санкт-Петербург, пр. Обуховской Обороны, 51, Невский машиностроительный завод; 
г. Санкт-Петербург, пл. Пролетарской Диктатуры;
г. Пушкин, сквер на пересечении Конюшенной ул. и Малой ул.; 
Московская пл.; 
г. Зеленогорск, Приморское шоссе;
«Шалаш»: пос. Тарховка, озеро Разлив;
г. Сестрорецк, пл. Свободы, 4;
г. Кронштадт, пр. Ленина, сквер Юного Ленинца; 
пос. Ильичево",60.081803,30.268626,1
Лермонтову М. Ю.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Александровский сад; 
г. Санкт-Петербург, Лермонтовский пр., 54",59.953673,30.317431,1
Ликвидаторам Чернобыльской катастрофы,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Планерная ул., 41/2, Аллея Чернобыльцев",60.01710799999999,30.228273,1
Ломоносову М. В.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, пл. Ломоносова; 
г. Санкт-Петербург, Менделеевская линия В. О.; 
г. Ломоносов, Дворцовый пр., 12/8",59.929736,30.333843,1
Лондону Е. С.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, ул. Академика Павлова, 12, НИИ экспериментальной медицины",52.295636,76.977301,1
«Любезным моим сослуживцам»,Памятники,None,None,None,None,None,None,None,None,None,"г. Пушкин, Садовая улица, северо-восточная часть Екатерининского парка",59.715194,30.403562,1
Памятник С. О. Макарову,Памятники,None,None,None,None,None,None,None,None,None,"г. Кронштадт, Якорная площадь",59.992884,29.777472,1
Марии Федоровне,Памятники,None,None,None,None,None,None,None,None,None,"Павловский парк, у Театральных ворот",55.07824599999999,82.95586800000002,1
Маринеско А. И.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Сампсониевский Большой пр., 28а, НПО специальных материалов",59.964413,30.342494,1
Матросову А. М.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, ул. Александра Матросова, угол Большого Сампсониевского пр.; 
г. Санкт-Петербург, Аллея Героев Московского парка Победы",59.667935,30.419408,1
Мациевичу Л. М.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Аэродромная ул., 13",53.190677,50.179074,1
Маяковскому В. В.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Маяковского ул. на пересечении ул. Некрасова, сквер",53.798182,81.322569,1
Менделееву Д. И.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Московский пр., 26/49, во дворе Технологического института; 
г. Санкт-Петербург, Московский пр., 19; 
г. Санкт-Петербург, ул. Академика Павлова, 12, НИИ экспериментальной медицины",53.217726,34.402376000000004,1
Меншикову А. Д.,Памятники,None,None,None,None,None,None,None,None,None,"г. Колпино, сквер на берегу р. Ижоры",59.76324399999999,30.592405,1
Памятный знак на месте дуэли К. П. Чернова и В. Д. Новосильцева,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, парк Лесотехнического университета",59.939095,30.315868,1
Место казни декабристов,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Александровский парк, Кронверкский вал",59.953673,30.317431,1
Мечникову И. И.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Пискаревский пр., 47, больница Петра Великого",59.980808,30.428858,1
Мицкевичу А.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Графский пер., 8",59.930669,30.345953,1
Можайскому А. Ф.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, ул. Красного Курсанта, 12—16, Военно-инженерный космический университет им. А. Ф. Можайского; 
г. Красное Село, развилка Гатчинского и Таллинского шоссе",59.689291,30.465626,1
Морейская колонна,Памятники,7.00-21.00,7.00-21.00,7.00-21.00,7.00-21.00,7.00-21.00,7.00-21.00,7.00-21.00,None,None,"г. Пушкин, Екатерининский парк, у Чертова моста на Нижних прудах",59.71318,30.395926,0
Морякам и создателям флота России,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Петровская наб. на пересечении с Петроградской наб.",51.649784,39.21157,1
Мосину С. И.,Памятники,None,None,None,None,None,None,None,None,None,"г. Сестрорецк, на углу ул. Воскова и Мосина",60.085083,29.96716,1
Московские Триумфальные ворота,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Московский пр., 103",59.89116,30.318132,1
Мусоргскому М. П.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Лермонтовский пр., 54, сквер",45.034318,38.91702100000001,1
Нарвские триумфальные ворота,Памятники,9.00-14.00,9.00-14.00,9.00-14.00,9.00-14.00,9.00-14.00,9.00-14.00,9.00-14.00,None,None,"г. Санкт-Петербург, пл. Стачек, д. 1",59.90088100000001,30.273854,0
Обелиск Народному ополчению Усть-Ижоры 1789 г.,Памятники,None,None,None,None,None,None,None,None,None,"Усть-Ижора, пр. 9-го Января",59.811921,30.591974,1
Научным экспериментам («Памятник Собаке»),Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, ул. Академика Павлова, 12, НИИ экспериментальной медицины",52.295636,76.977301,1
"Невский мемориал ""Журавли""",Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Дальневосточный пр. на пересечении с ул. Новоселов",59.885205000000006,30.470639,1
Невской битве 1240 г.,Памятники,None,None,None,None,None,None,None,None,None,"Усть-Ижора, 9-го Января пр.",59.945112,30.193194,1
Некрасову Н. А.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Литейный пр., 37, сквер; ул. Некрасова, на пересечении Греческого пр., сквер (бывший сад «Прудки»)",59.938577,30.362985,1
Николаю II,Памятники,9.00-19.00,9.00-19.00,9.00-19.00,9.00-19.00,9.00-19.00,9.00-19.00,9.00-19.00,None,None,"г. Пушкин, Академический пр., 34, в ограде Федоровского собора; / Pushkin, Academitchesky pr. 34 / Pushkin, Akademichesky pr., 34, in the fence of Fyodorovsky Cathedral",59.727662,30.390177,0
Нобелю А.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Петроградская наб., 24 / St Petersburg, Petrogradskaya nab., 24",59.960525,30.334445,1
Некрополь XVIII века,Памятники,9.30-18.00,9.30-18.00,9.30-18.00,9.30-18.00,9.30-18.00,9.30-18.00,9.30-18.00,None,None,"г. Санкт-Петербург, пл. Ал.Невского, д.1/ Alexander Nevsky Square, 1",55.797174,37.929261,0
«Октябрь»,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Лиговский пр., 6, у Большого концертного зала «Октябрьский»",59.93539000000001,30.365536,1
Орбели Л. А.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, пр. Тореза, 44, НИИ эволюционной физиологии и биохимии им. И. М. Сеченова / St. Petersburg, pr. Toreza, 44, Sechenov Institute of Evolutionary Physiology and Biochemistry of the Russian Academy of Sciences",60.009058,30.348881,1
Осипову В. Н.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Аллея Героев Московского парка Победы",48.705932,44.51861,1
Основанию Морского канала,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Гутуевский остров, территория Торгового порта.",59.903408,30.238667,1
Основанию Павловска,Памятники,6.00-22.00,6.00-22.00,6.00-22.00,6.00-22.00,6.00-22.00,6.00-22.00,6.00-22.00,None,None,"г. Павловск, парк «Мариенталь», правый берег р. Славянки / Pavlovsk, park ""Mariental"", right riverside of Slavyanka river",59.684699,30.457452000000004,0
А. С. Пушкину,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, площадь Искусств",43.577212,39.727275,1
"Пушкину А. С.,наб. реки Мойки, 12",Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, наб. реки Мойки, 12/Nab. reki Moiki 12",59.94120899999999,30.321240000000003,1
Ракову В. И.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Московский парк Победы, Аллея Героев/Moskovsky Park Pobedy - Аlleya Geroev",48.705932,44.51861,1
Растрелли Ф. Б.,Памятники,None,None,None,None,None,None,None,None,None,"г. Пушкин, Комсомольская ул./Tsarskoe Selo, ul. Komsomolskaya",59.70006600000001,30.407092,1
Рентгену В. К.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, ул. Рентгена, 8./ul. Rentgena 8",59.963796,30.318285,1
Репину И. Е.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Университетская наб. В. О., Румянцевский сад/Universitetskaya nab. - Rumyatsevsky sad",60.18052900000001,29.45407800000001,1
Н. К. Рериху,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, сад «Василеостровец» на пересечении Большого пр. с 25-й л. В. О.",59.934384,30.25698400000001,1
Римскому-Корсакову Н. А.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Театральная пл./Teatralnaya ploshсhad",59.925588,30.298315,1
Румянцеву П. А. («Румянцева победам»),Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Румянцевский сад/Rumyantsevsky sad",59.937833,30.292692,1
Сфинксы на Университетской наб.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Университетская наб., 17/Universitetskaya nab., 17",59.9374,30.28997,1
«Танк-победитель»,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, пр. Стачек, 106—108",47.212022,39.656622,1
Тельману Э.,Памятники,None,None,None,None,None,None,None,None,None,"г. Пушкин; Октябрьская наб., 50, Комбинат тонких и технических сукон им. Э. Тельмана/Tsarskoe Selo, Oktyabrskaya nab., 50",59.715022,30.411988,1
Тургеневу И. С.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Манежная пл., 2 / Manezhnaya ploshchad 2",59.936688,30.340958,1
Турнеру Г. И.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Боткинская ул., 13, клиника военной травматологии и ортопедии им. Г. И. Турнера ВМА/ul. Botkinskaya 13 - Turner's military clinic of Traumatology and Orthopedics",59.958561,30.35190900000001,1
Улановой Г. С.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Московский парк победы, Аллея Героев/Moskovsky Park Pobedy - Alleya Geroev",48.705932,44.51861,1
Уровням подъема воды во время наводнений,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, наб. Мойки, 89/Nab. reki Moiki, 89",59.931612,30.306903,1
Утраченной церкви Покрова Пресвятой Богородицы,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, пл. Тургенева/Ploshchad Turgeneva",59.918002,30.28926,1
Учителю,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, на пересечении улиц Учительской и Ушинского / Corner of Uchitelskaya st. and Ushinskogo st.",59.939095,30.315868,1
Ушинскому К. Д.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, наб. Мойки, 48, Педагогический университет им. А. И. Герцена/Nab. reki Moiki, 48, Herzen University",49.565184,30.505916,1
Фаберже К. Г.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Уткин проезд, 8, у здания ОАО «Русские самоцветы»",59.935205,30.439692,1
Федорову Е. П.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Аллея Героев",48.705932,44.51861,1
Героям-финляндцам,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Смоленское православное кладбище",59.94322800000001,30.247749,1
Фрунзе М. В.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, ул. Комсомола, 1/3, завод «Арсенал»",59.95639,30.371968,1
Петербургскому фотографу,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Малой Садовой ул., 3/ Malaya Sadovaya st., 3",51.236113,33.202245,1
Харитону Ю. Б.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Аллея Героев",48.705932,44.51861,1
«Хлеб насущный»,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Шоссе Революции — проспект Коммуны",47.704968,40.212554,1
Циолковскому К. Э.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Петропавловская крепость",59.949992,30.315509,1
Чайковскому П. И.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Таврический сад",59.946148,30.373657,1
Чапаеву В. И.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Тихорецкий пр., 1, перед зданием Военной Академии связи им. С. М. Будённого",45.042088,39.051122,1
Челнокову Н. В.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Аллея Героев",48.705932,44.51861,1
Чернышевскому Н. Г.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Московский пр., 163",59.867254,30.31990200000001,1
Чесменская колонна,Памятники,None,None,None,None,None,None,None,None,None,"г. Пушкин, Екатерининский парк, Большой пруд",59.72034,30.404469,1
Чижик-Пыжик,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, на Фонтанке, у Михайловского (Инженерного) замка рядом с 1-м Инженерным мостом, напротив дома № 12/1.",59.939095,30.315868,1
Чичерову В. С.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Аллея Героев",48.705932,44.51861,1
Чкалову В. П.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Чкаловский пр.",59.963638,30.295315,1
Чуеву А. В.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Аллея Героев, Московский парк Победы",48.705932,44.51861,1
Шевченко Т. Г.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Каменноостровский пр., напротив Мечети; 
г. Санкт-Петербург, Славянская пл.",59.966683,30.310712,1
Шелгунову В. А.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Ново-Александровская ул., 23, музей «Невская застава»",59.865704,30.460084,1
Шереметевой П. И.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, наб. Фонтанки, 34, в саду Фонтанного дома (Шереметевского дворца)",59.857762,30.965673,1
Шостаковичу Д. Д.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Кронверкская ул.",59.959841,30.311844,1
Шотману А. В.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Ново-Александровская ул., 23, музей «Невская застава»",59.86545600000001,30.461305,1
Шубину Ф. И.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Михайловский сад",59.939875,30.333008000000003,1
Щукину А. Н.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Аллея Героев",48.705932,44.51861,1
Ф. Энгельсу,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, пл. Пролетарской Диктатуры, сад Смольного/Ploshchad Proletarskoy Diktatury, Sad Smolnogo",59.946554000000006,30.390087,1
Юнгам Балтики,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, пл. Балтийских Юнг",59.951074,30.245719,1
Юнкерам Николаевского кавалерийского училища,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Лермонтовский пр., 54",59.91035600000001,30.298809,1
Яковлевой М. Я.,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Обуховской Обороны пр., 110, Комбинат цветной печати",59.866558,30.468788,1
Николаю II,Памятники,9.00-19.00,9.00-19.00,9.00-19.00,9.00-19.00,9.00-19.00,9.00-19.00,9.00-19.00,None,None,"г. Санкт-Петербург, Лиговский пр., 128, в ограде Крестовоздвиженской и Тихвинской церквей / St. Petersburg, Ligovsky pr. 128, in the churchyard of the Church of the Exaltation of the Holy Cross and Tikhvin Church",59.916257,30.353597,0
Памятный знак линкору «Полтава»,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Воскресенская наб.",59.94971700000001,30.361655,1
Памятник «Спасибо за счастливое детство»,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Московское шоссе, 44",59.829115,30.350381,1
Памятник О. Ф. Берггольц,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Палевский сад/ Palevskiy garden",59.89321800000001,30.41727,1
Памятник адмиралу Ф.Ф. Ушакову,Памятники,None,None,None,None,None,None,None,None,None,"г. Кронштадт, Якорная площадь/ Kronstadt, Yakornaya ploshad",59.991997,29.77592700000001,1
Памятник Дж. Баланчину,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Б. Пушкарская ул., 14/ B. Pushkarskaya, 14",59.958719,30.305241,1
Скульптурная композиция «Красная ворона»,Памятники,None,None,None,None,None,None,None,None,None,"г. Ломоносов,  от Еленинской улицы к Дворцовому проспекту",59.909761,29.775711,1
Памятник котёнку Фунтику,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, улица Якубовича, 10",59.933221,30.301845,1
Памятник полковнику Николаю Майданову,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Московский парк Победы",59.868166,30.328795,1
Памятник фонарщику,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Одесская ул. 1",59.946311,30.387661,1
"Памятник Петру I ""Царь-плотник""",Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Адмиралтейская наб.",59.938162,30.305322,1
Бюст архитектору В. Стасову,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Измайловский проспект, д. 7а",59.91647800000001,30.30578,1
Памятник Доменико Трезини,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Васильевский остров, съезд с Благовещенского моста",59.941425,30.248045,1
"Памятник ""Дети войны""",Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург,  пр. Непокоренных, д. 74",59.993635,30.43308,1
Памятник Павлу I,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, внутренний двор Михайловского замка (Садовая улица, 2)",59.899239,30.250444,1
"Скульптурная композиция ""Зодчие""",Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, Александровский парк",59.95498900000001,30.31380200000001,1
Памятник дворнику,Памятники,None,None,None,None,None,None,None,None,None,"г. Санкт-Петербург, площадь Островского, 11 (перед зданием Жилищного комитета)",59.93148100000001,30.334724,1
Охтенка с кувшином,Памятники,None,None,None,None,None,None,None,None,None,Памятник «Охтенка» открыт 6 июня 2003 г. в саду «Нева» Красногвардейского района.,56.228851,43.928615,1
Памятник А.А.Брусилову,Памятники,None,None,None,None,None,None,None,None,None,На углу Шпалерной и Таврической улицы,59.944986,30.378094,1
"Танк ""Климент Ворошилов""",Памятники,None,None,None,None,None,None,None,None,None,"Ленинградская область, Ломоносовский район, пос. Ропша. Координаты 59°43'20""N (59.722222), 29°51'15""E (29.854167).",59.827415,29.398598,1
Танк Т-80БВ на Нефтяной дороге,Памятники,None,None,None,None,None,None,None,None,None,"Нефтяная дорога, д. 3-а.",59.910077,30.36506,1
Танки мемориала «Пулковский рубеж»,Памятники,None,None,None,None,None,None,None,None,None,"Пулковское шоссе. Координаты: 59°45′51″ N (59.764333), 30°19′52″ E (30.331181).",59.825049,30.327555,1
Котёнок Фунтик,Памятники,None,None,None,None,None,None,None,None,None,"улица Якубовича, 10, вход в кафе «Республика кошек»",59.933221,30.301845,1
Поющий фонтан «Мир детям»,Памятники,None,None,None,None,None,None,None,None,None,"ТРК «Гранд Каньон», проспект Энгельса, 154",60.05911700000001,30.334975,1
Птица счастья,Памятники,None,None,None,None,None,None,None,None,None,"улица Афонская, 16",60.027449,30.302348,1
Памятник основателям Руси — князьям Рюрику и Олегу,Памятники,None,None,None,None,None,None,None,None,None,"Старая Ладога, Варяжская улица",59.999102,32.29580900000001,1
Банковский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Банковский мост",59.932067,30.324986,1
Львиный мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Львиный мост",59.926796,30.301459,1
Синий мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Синий мост",59.93186899999999,30.309328000000004,1
Большой Обуховский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Большой Обуховский мост",59.854183,30.496331,1
Володарский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Володарский мост",59.877366,30.452421,1
Финляндский железнодорожный мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Финляндский железнодорожный мост",59.95800300000001,30.342225,1
Мост Александра Невского,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Мост Александра Невского",59.925854,30.396707,1
Большеохтинский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Большеохтинский мост",59.942552,30.401765,1
Литейный мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Литейный мост",59.95170400000001,30.349582,1
Троицкий мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Троицкий мост",59.94865400000001,30.327609,1
Дворцовый мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Дворцовый мост",59.941056,30.308179,1
Благовещенский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Благовещенский мост",59.934682,30.28961,1
Биржевой мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Биржевой мост",59.946225,30.303355,1
Тучков мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Тучков мост",59.94896899999999,30.285523,1
Сампсониевский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Сампсониевский мост",59.957886,30.337571,1
Гренадерский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Гренадерский мост",59.967926,30.335083,1
Кантемировский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Кантемировский мост",59.978327,30.321914000000003,1
Ушаковский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Ушаковский мост",59.98252700000001,30.300184,1
3-й Елагин мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, 3-й Елагин мост",59.982325,30.254334000000004,1
1-й Елагин мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, 1-й Елагин мост",59.977224,30.272372,1
2-й Елагин мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, 2-й Елагин мост",59.97547700000001,30.258133,1
Каменноостровский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Каменноостровский мост",59.977355,30.301351,1
Большой Крестовский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Большой Крестовский мост",59.96694399999999,30.280376,1
Лазаревский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Лазаревский мост",59.96512900000001,30.273719,1
Большой Петровский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Большой Петровский мост",59.964913,30.255061,1
Тройной мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Тройной мост",59.939095,30.315868,1
Ново-Конюшенный мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Ново-Конюшенный мост",59.94059100000001,30.328588,1
Итальянский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Итальянский мост",59.937161,30.327205,1
Казанский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Казанский мост",59.935214,30.326414,1
Мучной мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Мучной мост",59.930917,30.321105,1
Каменный мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Каменный мост",59.930331,30.319156,1
Демидов мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Демидов мост",59.928541,30.315572,1
Сенной мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Сенной мост",59.92640400000001,30.315248,1
Кокушкин мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Кокушкин мост",59.92568299999999,30.313721,1
Вознесенский мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Вознесенский мост",59.926359,30.308205,1
Подьяческий мост,Мосты,None,None,None,None,None,None,None,None,None,"Санкт-Петербург, Подьяческий мост",59.92667900000001,30.305735,1
